CTRL_SECT_,ROUTE_KEY,AADT_CS,WEATHER_REI,CONSEQ_LITE,REDUND_LITE,NETRISK_LITE,EVENT_REI,RESI_EVENT,REI_Q5
5654,FM_1013_,1374.5595266146515,0.9460497551231276,0.6764621368194839,0.5855583707523689,0.5716539337907427,0.815011217656793,0.18498878234320704,Very High
4891,RM_962_,886.3546088990037,1.0,0.441097142882054,0.4864074167826872,0.47009531901615753,0.8145333616556552,0.18546663834434485,Very High
1359,SH_36_,7792.188129041293,0.9273150794234034,0.816381632104914,0.7124716050299564,0.6048403372509659,0.8144489196630502,0.18555108033694978,Very High
7704,RM_2147_,5094.560622885021,0.9754910262760862,0.4821049922494124,0.4351827535823699,0.5151898939166994,0.8143856299503008,0.18561437004969916,Very High
536140,FM_439_,7932.654243329275,0.9372837190724655,0.7178227621875706,0.612659080514194,0.5856300251068647,0.8142049261845052,0.18579507381549476,Very High
7409,FM_2611_,1896.145433793681,1.0,0.40239788442674485,0.43415898657033236,0.467775136027914,0.8137212976097699,0.18627870239023014,Very High
534981,SH_35_,13481.243323733059,0.9710583157007984,0.8606007430974414,0.9927029407075811,0.5192792695754324,0.8129356495569202,0.18706435044307979,Very High
5942,FM_1406_,3755.1544856417468,1.0,0.5575016319941626,0.6775629265193978,0.4634758085887384,0.8122165330060584,0.18778346699394155,Very High
1428,SH_29_,15751.790439344923,0.9505246579751815,0.6731571105376273,0.6214715699307941,0.5553056383502587,0.8121980011064585,0.18780199889354154,Very High
4539,FM_1970_,1082.3192712754624,0.9754910262760862,0.5571947849770755,0.5654080992642437,0.5081536312805478,0.8119229380276478,0.1880770619723522,Very High
826,SH_73_,27182.376769094906,0.9048299641498432,0.7171716850732439,0.47976788160260725,0.6383958584029035,0.8115780271384143,0.18842197286158568,Very High
759,SH_87_,2727.0413782120786,0.9512983001742088,0.731701254202813,0.7202719773582354,0.5509119615783936,0.8111630816656735,0.18883691833432648,Very High
578703,IH_35_,69663.25744547677,0.9505246579751815,0.7930921663442501,0.8100583849822519,0.5518319458136492,0.8109822087186451,0.18901779128135487,Very High
538427,FM_2484_,11436.914341878768,0.9505246579751815,0.6473347830048202,0.5962258412513781,0.5499105333023409,0.8103097143396872,0.18969028566031276,Very High
8138,SH_149_,5771.533291852238,0.9660379907119194,0.5921683286862179,0.5856479739146255,0.5210418076458805,0.8102893266388058,0.18971067336119418,Very High
1477,SH_73_,26722.51406637603,0.9048299641498432,0.715795249021947,0.4878383585615982,0.634341805988529,0.8101591087933833,0.18984089120661674,Very High
555653,SH_138_,6446.938951095646,0.9505246579751815,0.7010948262491163,0.6796869899035631,0.5487820997880446,0.8099147626096835,0.19008523739031646,Very High
4924,BF_1431_J,1583.4675507199086,0.9754910262760862,0.4878684075783686,0.47794219398230253,0.5015441669541001,0.8096096255133911,0.1903903744866089,Very High
6816,FS_2484_,3231.907966428455,0.9505246579751815,0.5453994853783781,0.4504741344084088,0.5470500374636633,0.8093085407961501,0.1906914592038499,Very High
582008,IH_10_,25914.040551703525,0.9048299641498432,0.8133169278046622,0.6419066018591187,0.6312275159391498,0.8090691072761005,0.19093089272389951,Very High
779,SH_87_,2117.502672895715,0.9966746330880927,0.511300961779636,0.6197525877906362,0.45887954195152714,0.8084463511902947,0.19155364880970527,Very High
1314,FM_699_,968.98132839126,0.9754910262760862,0.4482796885141257,0.4317777621475156,0.49625670824946916,0.8077590149667703,0.19224098503322973,Very High
